sentence_id,documento,orden_frase,frase_original
femina_000001,femina,1,FÉMINA REVISTA GALANTE Y DE INTERESES GENERALES.
femina_000002,femina,2,DIRECTORA ADMINISTRADORA: PETRONILA ANGELICA GOMEZ Maestra Normal.
femina_000003,femina,3,REDACTORES: V.
femina_000004,femina,4,"VALERA REYES, PETRONILA A."
femina_000005,femina,5,"GOMEZ, CONSUELO MONTALVO DE FRIAS."
femina_000006,femina,6,"Año 1 San Pedro de Macorís, Julio 15 de 1922 No. 1 YA ES HORA."
femina_000007,femina,7,"APARECE esta revista cientificoliteraria y de intereses generales en momentos bien aflictivos para la familia dominicana; aparece cuando sobre el santo suelo de la Patria soplan las ráfagas del mas insólito imperialismo; aparece cuando mas necesaria es una labor de cooperación, y cuando se necesita edificar con acciones y pensamientos de noble civismo y abnegación sin límites."
femina_000008,femina,8,"Verdad es que hasta ahora hemos podido, gracias a nuestra conducta loada con calor por los pueblos hermanos enclavados en el vasto continente colombino, impedir los designios, de la fuerza interventora que ha detentado nuestra preciosa soberanía por mas de seis años de dura servidumbre; cierto que a pesar de nuestra disparidad de criterios y de nuestras lamentables desavenencias en el modus procedendi para la reivindicación de nuestros derechos, hemos mantenido en alto la bandera de la rebeldía cívica; cierto, es verdad, todo ello; pero á nadie se le oculta que si hubiera existido un solo pensamiento, una sola acción para el logro de nuestro anhelo nos hubiésemos ahorrado muchos disgustos y no pocos entorpecimientos que han obrado en nuestro daño."
femina_000009,femina,9,"Hemos resistido con gallarda rebeldía; pero sin unidad de acción, sin unidad de pensamientos, sin cooperación disciplinada."
femina_000010,femina,10,Negarlo equivaldría á negar lo evidente.
femina_000011,femina,11,"La única identidad nuestra solo ha consistido en oponer como infranqueable valor a los aviesos tanteos del ocupante, nuestra rotunda negativa."
femina_000012,femina,12,Somos el pueblo ...
femina_000013,femina,13,"NO, como nos llama la prensa suramericana."
femina_000014,femina,14,"En lo único que hemos estado de común acuerdo, es en no ceder un solo ... metro de nuestros inalienables derechos."
femina_000015,femina,15,"Pero a nuestro entender eso no basta, ya, preciso procurar poner en juego nuestras actividades colectivas con una orientación exclusiva y absoluta; es preciso tratar de que no haya un solo elemento social que permanezca inactivo en la ardua tarea de romper nuestras cadenas, y de ahí que hayamos concebido el propósito de publicar una revista en que, laborando por la unificación nacional, ofrezca ancho campo a la mujer dominicana, para que tan poderoso agente produzca sin el menor estorbo, su acción fecunda y bienhechora."
femina_000016,femina,16,"La mujer nuestra, deseosa de arrimar el hombro á la causa nacional, solo ha podido hasta el presente prestar una ayuda material y secundaria, cuando bien podría con su inteligencia difundir virtud y cultura en las masas populares."
femina_000017,femina,17,La mujer dominicana merece ocupar en esta hora adversa el puesto intelectual que merece.
femina_000018,femina,18,"Y ese puesto de insigne distinción, ese lugar señalado para actuar en bien de la libertad y la cultura de su pueblo, viene a brindárselo esta humilde revista."
femina_000019,femina,19,"¡Ojalá que los resultados superen a nuestras esperanzas en honra y bienestar de la Patria! Fémina Página 2 ""LA MUJER"" Para ""Fémina"" MIENTRAS en el corazón de la mujer anide el sentimiento de la Patria, no hay peligro de que desaparezcan las nacionalidades, porque el mundo mas que por las ideas, se rige por los sentimientos."
femina_000020,femina,20,"Contra la idea, en plena derrota de hacer de la tierra una absurda cooperativa empeñada en borrar las huellas de la historia y el noble prestigio de las razas se levanta el sentimiento patriótico que no rehuye la confraternidad con otros pueblos, pero que tiene de la Patria el alto concepto de que es una ampliación del hogar y pide para ellala inviolabilidad intransigente y sagrada que hace del domicilio un castillo inabordable......"
femina_000021,femina,21,El hombre recibió siempre la inspiración de sus actos de la exaltación de su culto por la mujer.
femina_000022,femina,22,"¿Qué fue la recompensa del guerrero en todo tiempo, sino el Beso de pasión de unos labios fervorosos y la blanda caricia de reposo en el refugio dee unos brazos amantes? La cálida arenga y la osada aventura, no surgió de la mente exaltada ni del brazo esforzado sino a impulsos de un aliento de mujer."
femina_000023,femina,23,"Porque la mujer amó el heroismo, los hombres fueron héroes, porque la mujer amó la poesía, los hombres cantaron, porque la mujer amó a la Patria, los hombres fueron patriotas, y supieron tener esos bellos gestos que se agrandan y se eternizan en el tiempo La página mas bella en la historia de la independencia de todos los pueblos la escribió siempre la mano blanca y pura de una mujer."
femina_000024,femina,24,"El alma de la Patria dominicana, está encarnada en el alma toda abnegación de la mujer dominicana."
femina_000025,femina,25,MARIA L.
femina_000026,femina,26,DE ANGELIS DE CANINO. (María del Mar Caribe) Página 3 Fémina.
femina_000027,femina,27,EVOLUCIÓN O MUERTE.
femina_000028,femina,28,"FUNDAR una revista o un periódico cosa ni fácil ni compleja, observándolo desde el punto de vista intelectual; pero si se tiene en cuenta nuestro ambiente social, desgraciadamente refractario todavía a defender y á favorecer el desarrollo de esas manifestaciones de cultura; el momento actual de esterilidad económica porque atraviesa la familia dominicana y la opresion que sufrimos bajo cuyo peso gime desde hace seis años la desdichada patria de Febrero, es cuestión árdua y compleja la fundación de uno de esos portavoces de la cultura de los pueblos."
femina_000029,femina,29,"Mas, por encima de esos poderosos obstáculos y despojadas de las presunciones de ser escritoras, hemos resuelto fundar esta Revista, cuyas páginas ofrecerán extenso campo al desenvolvimiento intelectual de la mujer dominicana, de esa humilde y abnegada mujer sobre la cual pesa el grave deber de formar un hogar verdaderamente civilizado, para mas tarde poder llegar á la sociedad hombres conscientemente patriotas."
femina_000030,femina,30,La hora que atravesamos es decisiva.
femina_000031,femina,31,"Evolución o Muerte, dice á nuestro oído una voz imperiosa."
femina_000032,femina,32,"Y, ¿quién mas obligado, quién mas autorizado que nuestra inteligente mujer, á llevar al hogar este hermoso idéal y a cristalizarlo? La mujer es, por su sensible condición espiritual la llamada á señalar á la generación que se levanta en medio á esta desoladora condición político - social que atraviesa nuestra Patria, el derrotero salvador."
femina_000033,femina,33,"Sí, la mujer."
femina_000034,femina,34,¿Cómo? Pues de modo sencillo; estableciendo institucciones femeninas que tengan el único proposito de llevar á los hogares la chispa luminosa de la Civilización envuelta en el dulce aliento de la madre.
femina_000035,femina,35,"Incuestionablemente, la carencia de una educación cívica eficiente, en nuestros hogares, ha producido el derrumbe del edificio de nuestra nacionalidad Solo una paciente e inteligente labor reconstructora podrá levantar el edificio inconscientemente arruinado."
femina_000036,femina,36,"Toca á la mujer el desempeño de tan delicada e importante misión, y hora es ya. de que se labore con perseverancia por el establecimiento de nociones prácticas de civismo en el santuario puro del hogar."
femina_000037,femina,37,"Reconfortémos pues, nuestro proposito con el balsamo sublime de la voluntad: opongamos nuestro glorioso escudo ante los abrojos que se interpongan en la senda tortuosa, y caminemos con decidido empeño por llegar triunfantes hasta el anhelado alcázar de la Libertad, pináculo de nuestras aspiraciones, para provecho y ventura de nuestra amada tierra Quisqueyana."
femina_000038,femina,38,PETRONILA ANGELICA COMEZ. (Bisfalia) Fémina Página 4 ESCULTURA DE PARÍS Página5 NUEVO HORIZONTE.
femina_000039,femina,39,"Fémina Como ave doliente que oculta el pico bajo el ala, mi humilde pluma, yacía silenciosa, abrumada por las negruras que nimban el cielo de la patria; mas en medio a las sombras, aparece radiante el bello sol de la idea, poblando con su potente luz el vasto horizonte de nuestros anhelos, y, hela aquí, fiel intérprete de esta nueva aurora, como despierta, mitigada por la esperanza de risueño amanecer."
femina_000040,femina,40,"La mujer dominicana, medianamente culta, pero dotada de elevadas aspiraciones ha soñado crearse un sitio de preferencia en el mundo de las letras, y da empuje a este pensamiento lanzándose al árido campo del periodismo, para expandir, su espíritu sediento de saber."
femina_000041,femina,41,"Y, bajo el palio glorioso del pabellón cruzado recorre el jardín encantador de sus ensueños, seleccionando sus flores predilectas para formar el exquisito ramillete que arrojará a las plantas de la diosa Minerva como simbólica salutación."
